,SA1_code,apr20_test_daily_coverage
788,20605113026,2.3111831442463533
789,20605113027,1.4931803420653822
790,20605113028,0.5358330562021948
791,20605113029,3.0447392221887246
792,20605113032,3.8956291974017394
793,20605113033,3.285148078828581
794,20605113034,3.330995792426368
795,20605113035,2.9718992994071907
796,20605113036,0.7625881325263616
797,20605113037,0.867400029730935
798,20605113038,0.7941319500729452
799,20605113039,2.074193548387097
802,20605113201,6.194492254733218
803,20605113202,14.130572430906135
804,20605113203,7.748151062155784
806,20605113206,1.6216937446040343
807,20605113207,0.39298075591859344
808,20605113208,0.48348921549914103
809,20605113209,1.487650805157148
810,20605113210,4.626418462323091
811,20605113211,0.861033597499721
812,20605113212,2.9450741063644283
813,20605113213,5.111494252873563
814,20605113214,1.4862268938021024
815,20605113215,1.4054020682204045
816,20605113217,9.732966416959691
817,20605113218,1.2984253172297813
818,20605113219,0.5842226534077128
819,20605113220,0.893835318667942
820,20605113221,5.520272269902338
821,20605113222,1.956502016129032
823,20605113224,1.92597623089983
824,20605113225,1.4004760732167776
